AnalyticsID,CustomerID,Session ID,User ID,Client ID,IP Address,Cookie ID,Campaign ID,Channel ID,Source,Channel Name,Pages Visited URL,Date,Device ID,Browser,Platform,Session Duration,Bounce Rate,Conversion Rate,Referrer URL,Exit Page URL,Geographic Location,Language,Engagement Score,Page Load Time,Device Type,Visitor Type,last updated date,created date
7544125172FC,NDO9QTW0CHMA,DFAB645F7A72,2002163F32CF,5B4662D9CCFF,108.123.72.7,e572497f448e9fda7f6edc0d95aab847,9ECF72A38768,114,jones-johnson.com,Paid Shopping,http://www.jones-miller.com/,46:01.3,C04ADB78862D,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.10.5 (KHTML, like Gecko) Version/5.0.3 Safari/534.10.5",14:40:14,56.31%,56.49%,https://www.robertson.org/,https://olson-harvey.com/,"Millerville, Maine, USA",French,90,3.21 seconds,Mobile,Returning Visitor,40:34.7,08:10.5
04F82751FABF,DCX5ZFA3SZER,433F56FD29D1,638DCF601E86,E68181D30897,180.192.224.84,0dcb9f6d23adcf416c0d2b3cb3eac04b,6E082BDC0D63,108,garcia-parker.biz,Organic Search,https://www.gill.net/,26:55.6,CCD4F95A3B30,Opera/9.67.(Windows 98; the-NP) Presto/2.9.187 Version/11.00,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2902-02-23 06:05:59.263763 Firefox/12.0,54:11:28,7.79%,95.60%,http://king.org/,http://www.zuniga-oneill.info/,"Port Nathanburgh, Florida, USA",French,34,3.49 seconds,Tablet,Returning Visitor,13:52.4,40:03.0
FED47825AB17,IRB0ILP5TBPU,43FA80B63765,68B5B20EEB5A,CDA272D02FBA,60.80.149.38,786d301638518952d69d71475d10db48,4B2A13F9F556,114,page.com,Paid Shopping,http://www.barrett.com/,09:55.1,6E07BB76A925,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1),Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),32:31:11,37.35%,35.66%,https://www.mayer.org/,http://gilbert.com/,"Markport, Rhode Island, USA",English,34,1.25 seconds,Tablet,Returning Visitor,25:34.5,43:21.5
2F70B72F4046,ZSD1JRH4GMTC,753FB6E76CA5,7AA4D04FD8DA,70DF9A34EF2E,29.136.243.208,6315ff2834fc65ad313ceea382e48154,A270C7B09300,106,perkins.com,Email,https://www.odonnell.com/,02:32.9,DCC07F8F2D1D,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.26.3 (KHTML, like Gecko) Version/4.0 Safari/532.26.3",Mozilla/5.0 (Android 4.1.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,10:54:26,91.75%,5.07%,http://robinson.com/,https://www.francis-dougherty.com/,"East Sharon, Louisiana, USA",French,3,1.25 seconds,Mobile,Returning Visitor,28:56.1,23:54.4
AE0B114C03E0,DYM4HMF8PHPF,29110911EE2A,D5F3D72018C4,88D6CBB54160,211.59.208.177,9b18a6001ce3c7c98880381fbe9b7fb3,26ECEC312ED4,109,mcgee.com,Organic Shopping,http://www.brooks.com/,50:41.8,F13658B5E29A,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9735-06-25 14:27:54.885773 Firefox/3.6.8,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.7.2 (KHTML, like Gecko) Version/4.0.3 Safari/533.7.2",58:37:53,99.71%,3.44%,http://walters.com/,http://www.cruz.org/,"Brookeport, Michigan, USA",Spanish,44,4.67 seconds,Desktop,New Visitor,11:24.2,16:20.6
49979EBF1763,LMC9WFI6SQWW,C1BB05B09E5C,2F0BBEF5AC23,24C7C2F0CD23,156.38.15.0,a7337770ea04b4380e7d56cb9b4a4521,1F4B38088FE9,116,warner.com,Paid Video,https://www.powell.org/,47:40.5,733717F29808,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_8 rv:3.0; tn-ZA) AppleWebKit/531.15.3 (KHTML, like Gecko) Version/5.0.1 Safari/531.15.3",Mozilla/5.0 (Android 4.0.2; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,44:48:50,97.79%,46.25%,https://montgomery-ellis.com/,http://zimmerman.com/,"Robertsstad, Missouri, USA",English,54,2.38 seconds,Tablet,New Visitor,26:19.5,45:50.4
78429FFBB58C,XKD6NYR3HEZO,AB6B5D42502B,8472B5D52CCB,29E92E00D541,83.38.107.105,296583efd50c1025bc4da02bf1389f53,7B597257E379,116,kim.net,Paid Video,http://paul.com/,26:28.1,D19F9A09DE4F,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1),Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0),44:52:57,98.54%,31.48%,https://perry.com/,http://higgins.biz/,"Schroederburgh, New York, USA",French,25,3.25 seconds,Tablet,Returning Visitor,08:10.5,55:04.9
EB794646D74D,TXL8MME4OEHH,C21067C1AD65,796A21CB8342,5109A2466B36,37.119.98.248,b145c6bd80820a478239fa1088b7e79b,52B7549BDF23,118,hall.info,SMS,https://edwards.net/,16:03.5,E67F2D0C520F,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.10.2 (KHTML, like Gecko) Version/5.1 Safari/535.10.2",Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),41:38:24,39.35%,33.53%,http://www.patrick.com/,https://torres-marquez.com/,"West Allen, Mississippi, USA",English,32,1.97 seconds,Tablet,Returning Visitor,06:14.9,31:03.4
29952D5D11C7,PZE2ITW4MOJU,9D196545B042,F1E8B4C35A83,A226694DF0A8,170.146.7.12,374eb3162eb439793bdc33e2600ee513,C728EAE4EC50,105,martinez.com,Display,https://www.harris.biz/,39:36.6,7D2630835FB6,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.10.2 (KHTML, like Gecko) Version/4.0.4 Safari/535.10.2","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_1 rv:3.0; gu-IN) AppleWebKit/531.15.5 (KHTML, like Gecko) Version/4.1 Safari/531.15.5",36:42:23,50.97%,20.80%,http://hammond.biz/,http://www.larson.com/,"Franklinshire, Mississippi, USA",Spanish,32,0.51 seconds,Desktop,Returning Visitor,54:52.3,34:33.3
8DB9F5E06F0C,WLG6WFZ8TBGE,5645F5F0320F,4F07B9B9D728,2B24C0C26937,101.218.191.102,ea60091a520367895ab5245578de3bbf,839947ACE4ED,113,jordan.com,Paid Search,https://www.sanchez.com/,07:21.6,0C6A97EC0B24,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1),Mozilla/5.0 (Android 4.4.1; Mobile; rv:32.0) Gecko/32.0 Firefox/32.0,55:46:21,81.77%,97.79%,https://www.bush.com/,http://brown.com/,"North Kevin, Michigan, USA",English,70,1.81 seconds,Desktop,Returning Visitor,12:38.5,25:54.2
